municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Junho,810,"235,0","0,2901"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Junho,589,"198,0","0,3353"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Julho,589,"215,0","0,365"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Julho,810,"253,0","0,3117"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Agosto,810,"265,0","0,3272"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Agosto,589,"230,0","0,3905"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Setembro,589,"188,0","0,3183"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Setembro,810,"231,0","0,2853"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Outubro,810,"227,0","0,2802"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Outubro,589,"179,0","0,3039"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Novembro,589,"161,0","0,2733"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Novembro,810,"201,0","0,2481"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Dezembro,810,"194,0","0,2395"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Dezembro,589,"158,0","0,2683"
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Fevereiro,963,"240,0","0,2492"
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Fevereiro,804,"190,0","0,2363"
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Fevereiro,294,"85,0","0,2891"
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Março,294,"90,0","0,3061"
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Março,963,"250,0","0,2596"
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Março,804,"195,0","0,2425"
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Abril,804,"195,0","0,2425"
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Abril,294,"90,0","0,3061"
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Abril,963,"250,0","0,2596"
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Maio,949,"280,0","0,295"
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Maio,294,"180,0","0,6122"
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Maio,963,"270,0","0,2804"
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Junho,963,"230,4","0,2393"
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Junho,294,"90,0","0,3061"
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Junho,804,"170,53","0,2121"
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Julho,293,"80,5","0,2747"
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Julho,819,"217,0","0,265"
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Julho,1437,"315,0","0,2192"
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Julho,1022,"255,0","0,2495"
BALSAS-MA                                         ,MA        ,CABO DE SANTO AGOSTINHO-PE                        ,PE        ,2023,Agosto,1437,"330,0","0,2296"
BALSAS-MA                                         ,MA        ,PORTO FRANCO-MA                                   ,MA        ,2023,Agosto,293,"88,2","0,301"
BALSAS-MA                                         ,MA        ,SÃO LUÍS-MA                                       ,MA        ,2023,Agosto,819,"224,0","0,2735"
BALSAS-MA                                         ,MA        ,BARCARENA-PA                                      ,PA        ,2023,Agosto,962,"172,0","0,1788"
